,text,sentiment
8778,back from the yoga retreat -PRON- recommend this to everyone,positive
8779,-PRON- depressing -PRON- be stick inside all day,negative
8780,oh the Mint Lounge AWESOME night,positive
8781,okay one of -PRON- ear pop so now -PRON- know what everything sound like and everything be reall loud,neutral
8782,thank -PRON-   see -PRON- comment on the chew aerobic really tickle -PRON-,neutral
8783,wa cool look forward to -PRON- now,positive
8784,try to edit the page but could not add -PRON- name   can -PRON- pop -PRON- on the list please,neutral
8785,sorry -PRON- can not reach either url,negative
8786,so sorry to hear -PRON- terrible news    Thinking of -PRON- all x,negative
8787,oh i wish -PRON- dear Michael i wish,neutral
8788,-PRON- s totally ignore -PRON- how sad   -PRON- be heartbroken,negative
8789,i would like some macaroni and cheese pleaseno,neutral
8790,kewl the JB chat be awesome -PRON- have to miss lot of -PRON- though cause i have   go   skewl,positive
8791,gasp -PRON- love -PRON- thank -PRON- so much for share Tim,positive
8792,of the back of -PRON- head,neutral
8793,up and at work -PRON- be ina good mood,positive
8794,-PRON- tryna get -PRON-   sing on mic n i say NO no NOOOOOOOO,neutral
8795,-PRON- so sad     -PRON- love Kelly,negative
8796,Got let go today,neutral
8797,congrat on the Invisalign -PRON- need to get refit for mine   -PRON- get lazy and stop wear -PRON-,negative
8798,watch prison break special such a sad ending,negative
8799,eleni -PRON- love -PRON- too,positive
8800,have -PRON- read Angels   demon what do -PRON- think of -PRON- if -PRON- have oh and beautiful sunny weather here in Provence,positive
8801,i send one abrams   and -PRON- be all surround with weather,neutral
8802,but -PRON- hate be -PRON-,negative
8803,good morning fella    i have the joy of work to do today   what be -PRON- plan,positive
8804,o uh could -PRON- come visit austin before -PRON- make -PRON- gigantic moving decision -PRON- close to st louis than portland,neutral
8805,yup slowly recover -PRON- suck that i can not eat the stuff -PRON- be crave right now -PRON- gum can not take -PRON- how be -PRON- trip,negative
8806,-PRON- try register on the website no go -PRON- get an error with all   browser Firefox chrome ie safari,negative
8807,oh wow -PRON- be fast    how s life go   -PRON- be   month ya   XD,positive
8808,today   and tomorrow at   taipei anyone   free for drink,neutral
8809,now feel like a dork for use the wrong Ping group,negative
8810,wish -PRON- be here too babe -PRON- d have a ball,positive
8811,part of -PRON- Neuroanatomy takehome test   after this iï¿½m,neutral
8812,-PRON- the little thing that link -PRON- to England,neutral
8813,work be de   out tonite tho eeeeeee,neutral
8814,thank for the rt -PRON- be hope -PRON- have some classy follower,positive
8815,oh DuhI see that now thank -PRON-,positive
8816,use -PRON- old phone   gosh -PRON- miss this phone,negative
8817,be not that a local dish borrow,neutral
8818,no not yet -PRON- eat a couple   -PRON- love reece but -PRON- be hard to get in NZ -PRON- stock up bigtime in the state,neutral
8819,but then again -PRON- think -PRON- be the only who pay attention to this type of thing bout to hit this bush and pretend -PRON- purple,negative
8820,but -PRON- be one in a million,neutral
8821,Can -PRON- come with the guy to Brazil well love if this happen,positive
8822,Wild Oats Pinot Grigio   v easy to drink,positive
8823,be desperatly hope -PRON- dad take -PRON- to vanessas game,positive
8824,get ready for a goingaway dessert reception for a colleague who s off to grad school,neutral
8825,what,neutral
8826,-PRON- just love -PRON- when   hot policeman come into -PRON- work,positive
8827,hug   -PRON- be so sorry anything -PRON- can do,positive
8828,-PRON- have already do -PRON- washing -PRON- have a spring in -PRON- step this morning,neutral
8829,Pappadeux have some yummy strawberry lemonade,positive
8830,oh no   that s no good -PRON- pierce   -PRON- bottom lip on the right sidemyself in   grade but -PRON- have a no piercing dress code,negative
8831,probably the good birthday -PRON- have ever have -PRON- get to spend -PRON- with all -PRON- favorite people,positive
8832,the train turn into a microwave,neutral
8833,hasa Lemon Cake in the oven and be go on to make Pork Casserole   Domestic or what,neutral
8834,straighten -PRON- hair,neutral
8835,Kudai a Pop Rock band from Chile be the last one take the stage tonight,neutral
8836,work till   be -PRON- play miley cyrus on the company radio and not adele,neutral
8837,go to watch some tv now   crazy night out   up at   for work tomorrow   Ill live somehow at least -PRON- mean -PRON- finish early,neutral
8838,i do not think i have ever laugh so hard,positive
8839,why the hell be -PRON- rain i hate the rain,negative
8840,take a kindof nap too -PRON- tummy hurt,negative
8841,wow i break -PRON- toe today on a stupid piece of concrete   LAME job search then sight see with Brittany,negative
8842,yea -PRON- -PRON- roadwarrior   workaholic lifestyle,neutral
8843,-PRON- be so sorry to hear -PRON- bad news   -PRON- will send happy thought -PRON- way that -PRON- find a new job very soon,neutral
8844,can not wait till ur may   show   u well stop by and hang out in newcastle,neutral
8845,Molly be bear on -PRON- birthday cue twilight zone music,positive
8846,Bon Voyage birthday brother   Mccarran cyah again vegas in july have not sleep yet   class      such a fun weekend,positive
8847,-PRON- feel the same way but -PRON- guess no matter where -PRON- be there will always be meme,neutral
8848,transfer   photo be annoying -PRON- want to watch up,negative
8849,hello twitt,neutral
8850,be busy talk with mom and bhabhi -PRON- like the card bro and -PRON- make for -PRON-   now wait for sis to get back from church,positive
8851,hey do -PRON- get any more info about -PRON- graduation and -PRON- think -PRON- mom go to let -PRON- go to CP if -PRON- guy still wanna go,neutral
8852,walk the dog on horseforth park no hangover on a Sunday morning yay,positive
8853,so -PRON- be play hooky from work and -PRON- feel good   go to go get ma hair do i wonder how fitzsimmon be do,positive
8854,endless set list very long gruele almost also send to gordos cell cuz -PRON- s no long communicate with the internet in,neutral
8855,i do not wake up early enough to go roller blade   contrary to a tributary i flow endlessly,neutral
8856,oh ok   -PRON- guess next time then,neutral
8857,HI lady sorry for the delayed response appreciate the luvwill be in to this month how s everything go with -PRON-,neutral
8858,a girl in -PRON- big hair rock today black velvet baby,neutral
8859,in anticipation of -PRON- make -PRON- a cup of tea -PRON- be agree now -PRON- must happen   no -PRON- be awesome,positive
8860,omg man   ill pray for ya,negative
8861,today have be a nice positive   fun day   after several week of bum day,positive
8862,meow a week ago today   be here and -PRON- be road trippin,neutral
8863,hey Ruthie girl u send -PRON- all these lovely twitt but never respond   -PRON- be hurt how s Mikey and Dion,neutral
8864,very well thank -PRON- how be -PRON- more importantly,positive
8865,be feel very sick,negative
8866,that s actually adorable ooh how i miss dude,neutral
8867,no but Geek mind think alike,neutral
8868,lose -PRON- favorite thing -PRON- love to always have on -PRON- -PRON- story of the year Key Chain,negative
8869,weird as usual but ok that s why -PRON- like -PRON-,positive
8870,elaine -PRON- online mommy too -PRON- give good advice,positive
8871,be go out   to   dinner,neutral
8872,lol good luck with that   love -PRON- vid for YBWM,positive
8873,thank u,positive
8874,ME -PRON- want to go,neutral
8875,haha have good dream   haha good friend forever haha be sweet to presh bailey    zdbP,positive
8876,on -PRON- way,neutral
8877,just start feel bad again   ugh -PRON- hate -PRON- when -PRON- do not feel good,negative
8878,lol i   spongebob,positive
8879,Ahh dang of course -PRON- have to do that   -PRON- well email -PRON- back fast,negative
8880,Good Morning,positive
8881,hahaha i have a bob marley one,neutral
8882,new STRIPEY top day,neutral
8883,want to go home,neutral
8884,why d u feel awful after last night,negative
8885,if -PRON- any consolation -PRON- be definitely one of the hot gg IMHO,positive
8886,anybody wanna comment -PRON-,neutral
8887,where be -PRON-,neutral
8888,feel so out of the loop no twitter on -PRON- desktop and have not listen to   weekly or read engadget in age,negative
8889,lol girl -PRON- can not stop -PRON- be a student -PRON- can not afford   a pop eyeshadow but -PRON- be so hooked,neutral
8890,i want   but i dinna hink -PRON- will get show in elgin n get    go withn,neutral
8891,be upset,neutral
8892,ahh -PRON- baby be so cute Happy Mothers Day,positive
8893,buy one of -PRON- shirt at   -PRON- know -PRON- want to,neutral
8894,man -PRON- be fully obsess with -PRON- burrito enchilado style -PRON- mom do not wanna go with -PRON- tho,negative
8895,miss home on the farm,negative
8896,THANKS,positive
8897,illustrate -PRON- Too -PRON- hard to argue w -PRON- cause -PRON- make some great point i just can not wrap -PRON- heart around that one,neutral
8898,-PRON- love be in charge,positive
8899,need to stop take photo with other people camera   luckily photo have be deliver,positive
8900,morning twitter,neutral
8901,watch Coraline last night -PRON- be really good the animation be excellent and the creativity be inspirational,positive
8902,Brad PaisleyAlison Krauss Whiskey Lullabyso sad   but -PRON- awesome,neutral
8903,Twitter have be foke up for -PRON- today arg    and   hour of work till the weekend Woooooo,negative
8904,yes and -PRON- really hope to do one last gas price story but -PRON- guess -PRON- be not mean to be,neutral
8905,where s the story -PRON- wanna know -PRON- wanna know,neutral
8906,blue sky where -PRON- still grey and hazy out of -PRON- window,negative
8907,happy mother day to -PRON- sweet mum,positive
8908,looool chip and ketchup ya waili   Lets have some fish finger   -PRON- be not too sure about baked bean though,negative
8909,spend Mothers Day with mom,neutral
8910,-PRON- hear U -PRON- can barley keep up with the follower -PRON- currently have -PRON- tuff on a mobile device,negative
8911,look forward to follow -PRON- journey on this endeavor   just subscribe to -PRON- blog,positive
8912,hate that -PRON- ac do not work -PRON- so hot,negative
8913,Happy Star Wars Day,positive
8914,have real bad headache,negative
8915,hang out with the goddaughter,neutral
8916,Finished Death Du Jour Schools out   Nerd,neutral
8917,HappyEmoX lmao Lucky -PRON-   minute on foot for -PRON-   ewww Schoollol on the bus now,negative
8918,sigh i always disappoint people who get in -PRON- way   everyone   -PRON- be out i may disappoint everyone else here,negative
8919,be so tired -PRON- have walk   kilometre today,negative
8920,work on -PRON- resume while listen to the rain and enjoy a Circus boy,positive
8921,-PRON- be always the last one in the officeespecially on Friday,neutral
8922,-PRON- be an app that change -PRON- wallpaper to one of several hundred at random interval -PRON- hard to find good wallpaper,negative
8923,lol get to -PRON- bed,neutral
8924,poor wavve have a meltdown in barcelona drummer walk out shoe be throw hand in face,neutral
8925,i want to see ephraim zenh tomorrow a lot but can i find a sitter wtf why do everyone have plan -PRON- only saturday nightsigh,negative
8926,think malibu be the drink for -PRON- let all hit the bottle   woop woop,positive
8927,of course LOL about to eat more,neutral
8928,-PRON- be at the terrance middle by the left side center -PRON- see u,neutral
8929,Awe Man -PRON- hope someone turn -PRON- in,positive
8930,have   Irma Vep rehearsal nonot really,neutral
8931,heavenly Donuts at   at nightsound like a heavenly match to -PRON-,neutral
8932,i need some serious cheering up,negative
8933,not for too long -PRON- hope x,neutral
8934,-PRON- send -PRON- a FR yesterday,neutral
8935,Scared   wait for the call,negative
8936,r u still there   -PRON- guess not     i want to talk to -PRON-,neutral
8937,J i soo do not wanna work tmrw   only on a half day tho so hopefully the sun will stay out for -PRON- go to go get shower tweet,positive
8938,wow no one love -PRON-,negative
8939,mon ami since   year young   -PRON- loveeee -PRON- foreverrr,positive
8940,oh noe Melted ice cream   do not want,negative
8941,whatever pung   haha i do not care jk,neutral
8942,ReTweetings -PRON- favorite     palin,positive
8943,Boognish wish Clemmie would be nice to -PRON-,positive
8944,geez sorry to hear Steph -PRON- hope thing improve soon -PRON- know that be not much sorry,neutral
8945,ugh but -PRON- be so unattractive u may as well drink from a regular glass i really do not like -PRON-,negative
8946,listen to MSI and bake banana bread how weird be -PRON- remarkably not so much anymore,negative
8947,Grrrstupid internet connection ruin a great scrabble game,negative
8948,-PRON- have not be reply to people because seriously -PRON- have not refresh twitter for a while   sorry    thank,neutral
8949,watch role model absolutely hilarious,positive
8950,be feel the effect of spring -PRON- sinus be kill -PRON-,negative
8951,just get do working outrelaxe than off to work,positive
8952,come overhere then the Dutch do not dub   may go in an hour BringTaraBack,neutral
8953,-PRON- have to admit -PRON- be a bit bummed out that -PRON- be not with -PRON- friend walk today,negative
8954,stick in traffic on the   on the way to costa mesa,negative
8955,thank -PRON- for approve -PRON- application at the TWA Forum honey keep up the good work,positive
8956,-PRON- be such a positive thinker -PRON- be for sure keep -PRON- around,positive
8957,wake up to the sound of -PRON- neighbor get a new roof,neutral
8958,oh -PRON- be sorry hun    -PRON- be fine thankskid be drive -PRON- nuts but hey ho -PRON- be back to school on Monday,neutral
8959,-PRON- Mothers Day go out to lunch to celebrate and then go shop for a gift for -PRON- mom,positive
8960,now that -PRON- think about -PRON- when -PRON- get to the state -PRON- will probably still be tour so -PRON- will not be at home   Dammit,negative
8961,july too long,negative
8962,oh yes -PRON- be amazed -PRON- be so nice next -PRON- can go drive -PRON- that s if -PRON- trust -PRON- Haha,positive
8963,awww rusk be good for tummy ache though p try fennel or camomile tea   work or obviously try,positive
8964,tea   Mmmm crispy but no cake   have headphone,neutral
8965,-PRON- hate this weather this   suck -PRON- want to go out tonight but not n no mess like this,negative
8966,tierdi just want to talk,negative
8967,-PRON- think -PRON- go against everything i think the olympic spirit of Team GB iswas,negative
8968,thank for ask Sarah   -PRON- be glad tomorrow   be a holiday here in Korea -PRON- will have some rest and -PRON- will be right as rain,positive
8969,umm how abt a comment like that p i do not like this,negative
8970,so ur name be also Naina,neutral
8971,big day   the xt launch be amazing so much free stuff thanx   the edge and telecom find the phone i wantcnt afford -PRON- yet tho,positive
8972,awww -PRON- be so sorry hun   -PRON- be sure -PRON- do not do -PRON- on purpose though -PRON- seem so sweet maybe -PRON- be a   hour thing s,negative
8973,adsense exchange rate       INR,neutral
8974,ah sorry to hear that just see pic of chi and look cool   -PRON- get beagle and oripei,negative
8975,-PRON- see an all red Audi on the highway -PRON- speed uo to -PRON- hope -PRON- be -PRON- -PRON- loss,negative
8976,super bum the Whitecaps game plan with friend fall throughi now need to be home by   to let the sitter go,negative
8977,Dave thank for play Happy Birthday from NKOTB Today be -PRON- bday -PRON- be a lonely bday today,neutral
8978,-PRON- seem like everyone -PRON- watch XMen now -PRON- feel like -PRON- have start a revolution   feel nice,positive
8979,hello -PRON- see -PRON- online can u talk to -PRON- pleeez   from a fellow bamf lol,neutral
8980,wow purple leopard skin   fieeerrceee,neutral
8981,i want to see -PRON- on tour,neutral
8982,tired of hear story about everybody go to Ibiza,negative
8983,Souljaa -PRON- could not eat,neutral
8984,top cashier at work today woot woot now off to have a drink,neutral
8985,-PRON- be not go on the cruise Wish -PRON- be but -PRON- be just go on vacation thank though,positive
8986,-PRON- guy ROCKED IT tonight in LA Love ya guy and cab wait to see another awesome show soon,positive
8987,-PRON- be definitely makeup challenge so curling lash and tin moisturiser do this tip come with a glossary,neutral
8988,this be the early -PRON- have be up for age Body be cry to go back to sleep Must resist a shower should do the trick,neutral
8989,go to the Chiro to see what be wrong with -PRON- bum ankle,negative
8990,-PRON- just arrive in the office -PRON- be prepare -PRON- for a very busy day listen Debussy those song always make -PRON- feel well,positive
8991,thought -PRON- d check out home that be   minute ago download update now home squarethat why -PRON- can not be bother with -PRON- Sony,positive
8992,hahah yeah i have the same problem Tomorrow there be a bday dinner for Terry at   so i do not think well see the fight,negative
8993,mine curly atm   i want -PRON- to be straight lmao,neutral
8994,i do not get -PRON- although as -PRON- a religious thing i think ill let that one slip by,neutral
8995,idea gallore   Rock Opera FTW yes tweet Kayleigh and -PRON- be write a rock opera   for more info email us CoatAndKaycom,neutral
8996,be go to have an irish wedding,neutral
8997,two room pack and clean three to go,neutral
8998,want to get -PRON- hand dirty with FubuMVC   but the documentation be not yet complete,negative
8999,listen to back around by   love this song Meet   tomorrow   but -PRON- canï¿½t go swim   sorry,neutral
9000,single,neutral
9001,inoo that s why i se ino how u feel coz -PRON- be in love with kyle i feel like such a saddo but -PRON- true ha i wanna see -PRON- tuesday,negative
9002,TRUESDALE lmao -PRON- a mess   -PRON- be go to be in ATL in a few week,negative
9003,wow that s cool   bytheway i love -PRON- new tv show,positive
9004,-PRON- think -PRON- have some tea somewhere -PRON- probably old though,neutral
9005,dang -PRON- internet    -PRON- be down all night,negative
9006,goodness gracious -PRON- chair break,negative
9007,Britt   have to do -PRON- -PRON- come all the way down to say May the fourth be with -PRON-   -PRON- work be do,positive
9008,through the Fire and Flames   dragonforce,neutral
9009,sound like -PRON- win backstage pass,positive
9010,haha if -PRON- like -PRON- then -PRON- should go,positive
9011,and trash repop   get -PRON- tomorrow night -PRON- suppose,neutral
9012,just finished work nd now wait in the freezing cold drink a mango magic haha FAIL TT mama wheree be yu   -PRON- be cold,negative
9013,-PRON- can not be   Sugar Mountainor so people tell -PRON-,neutral
9014,thanks i hope i do    iv be play   like   time kinda sick of -PRON- hehe,negative
9015,this week have be so lonely without gossip girl xoxo,negative
9016,Prank call,neutral
9017,be there anyway -PRON- could forgive -PRON-,negative
9018,go to drivein movie for the first time,neutral
9019,diamond brown but -PRON- look black   at least -PRON- not red cos -PRON- would have look like a period stain,neutral
9020,Hangover,neutral
9021,thx girl -PRON- just now wake up -PRON- cnt believe -PRON- be sick now -PRON- have a fever Wish -PRON- could pound nyquil   this suck,negative
9022,excited to see -PRON- cousin this week,positive
9023,-PRON- correct -PRON-,positive
9024,love -PRON- new blackberry,positive
9025,impressive fever   good wish to -PRON- hope -PRON- nothing serious,neutral
9026,pretty happy with how thing have change over the past   monthsdefinitely for the good,neutral
9027,beautiful day and -PRON- be work   leave now so i can get some sun though,positive
9028,lol u get AC right u know -PRON- get chill here again   n -PRON- gona rain tmr,neutral
9029,back on track with the transcription process still can not stop -PRON- lappy overheat though,negative
9030,happy mother day to -PRON- as well   have a good one,positive
9031,-PRON- Maikos keyboard birthday today -PRON- s be a good boy maybe hell get present,positive
9032,be such a good big cousin as -PRON- s take -PRON- little cousin to see hannah montana the movie next weekend,positive
9033,that s the only way to get thing do no distraction,neutral
9034,nnnaaa uhhhh playah shawty be not get nun maybe -PRON- be ur phone or mine   but -PRON- want to hit -PRON- up when u leave the studio,negative
9035,-PRON- have a nightmare last night cry -PRON- think -PRON- be scar for life,negative
9036,hand in Can relax a bit now,positive
9037,ill miss -PRON- all back give   -PRON- regard,negative
9038,-PRON- be actually there omg apparently a relative of marc go to -PRON- school lol,neutral
9039,be home,neutral
9040,Bandung -PRON- hehe but -PRON- be home now,neutral
9041,devi thankyou i will not but -PRON- know,positive
9042,follow,neutral
9043,aweee -PRON- be sorry   but deep down u know i love ya,neutral
9044,count -PRON- in,neutral
9045,nail some webconcepting in the zone -PRON- should be award,positive
9046,Malibu make -PRON- sleepy   and -PRON- do not want to text -PRON- when -PRON- be drink silly -PRON- maybe ill ring -PRON- later,neutral
9047,really can not be bother go to work tonigh -PRON- too nice to be stick inside,positive
9048,-PRON- miss -PRON-   come to Michigan like nowi can not wait till July,negative
9049,-PRON- give -PRON-   snap down   how s work go,neutral
9050,i find a rideYES liquor here i come,positive
9051,the most amazing decoration of a store -PRON- have ever see   -PRON- almost be   year,positive
9052,so afraid -PRON- daughter go to write a memoir where -PRON- be some ungodly mix of Miles   Betty Davis in all about Eve,negative
9053,on the north -PRON- be BOOMIN lol fucc the club dog i rather count a million buccz   they call me starbuccz,neutral
9054,-PRON- already do,neutral
9055,the phone be light up like christmas tree go to work people -PRON- do not have to get everything do on monday,neutral
9056,come home tomorrow with a car full of treasure,neutral
9057,do not wanna get dress up and be an adult today,negative
9058,watchin what a girl want with mom and brittany,neutral
9059,yes -PRON- like -PRON- very very much   -PRON- be not even cheesy,positive
9060,what good role model   i like how yinz think,positive
9061,i hav a chance to win      i be give a free can of   planthave to wait till the plant grow to know if i win anythin,neutral
9062,-PRON- be back top molar extract   swollen face all numb   but no more toothache or sinus pain,neutral
9063,-PRON- can not even call -PRON- from belgium   suck,negative
9064,nuuuuu i totally love may -PRON- the good for -PRON- cos i be bear in may,positive
9065,pup -PRON- would love tobutt -PRON- will be save life Saturday night   although -PRON- know -PRON- be miss a blast,positive
9066,rain finally arrive drat Guess this mean well have to picnic in the living room instead of at WolfTrap tonite,neutral
9067,be work,neutral
9068,i beat aye to the music hall   babyy -PRON- be like the cinnamon that beat the apple to the apple jack,neutral
9069,with matt,neutral
9070,so sadsorry to hear that   -PRON- be a sweet dog,negative
9071,wait for the bus back from cripple creek to pick up the twizzler town seem kinda quiet tonite,neutral
9072,all be fine   thank -PRON- guy do not have any quake there,positive
9073,be sad -PRON- new   cd get nicked,negative
9074,hahahaha i laugh -PRON-   off just now thank,positive
9075,awwwwwwI know that feeling,neutral
9076,that s not how -PRON- share link on Twitter   Yours be   and -PRON- can view -PRON- stat at,neutral
9077,lucky to be where i belong,positive
9078,go to eastgarden and see a lot of hillsong pastor there now -PRON- be go to Nicks for dinner can not wait to talk to -PRON- soon,positive
9079,haha nice   thank for let -PRON- know,positive
9080,-PRON- s so festive be not -PRON- hehe,positive
9081,yeah -PRON- be,neutral
9082,Sooo -PRON- spend most of -PRON- day sit at home in front of the computer in -PRON- pajamasi love these day,positive
9083,i try to help,positive
9084,oh phew -PRON- scare -PRON- -PRON- will not have any access when -PRON- be in mexico,negative
9085,be anyone there   please say hello   -PRON- be feel lonely,negative
9086,-PRON- be with u on the internet surf part lol but be drink,neutral
9087,nice -PRON- day like today -PRON- wish -PRON- have a garden,positive
9088,nope reread -PRON- all over again      no offense mean,neutral
9089,Follow Friday   i only have   friend,neutral
9090,Happy Meal   BOB toy,positive
9091,just have a fall out with nick,negative
9092,woke up really late today just have breakfast planning to stay home watch tv show and do nothing eat too,neutral
9093,turn on -PRON- close caption   then -PRON- can read and watch animal planet at the same tiime,neutral
9094,wish all the mommy a happy mother day,positive
9095,plan be canceledanother friday night at home,neutral
9096,-PRON- must have read -PRON- mind -PRON- be go but now -PRON- thunderstorming and -PRON- have to pick up the boy from the bus stop,neutral
9097,ME too please come online   hope -PRON- have have an amazing weekend,positive
9098,-PRON- sunny and -PRON- feel really well today   Yippeee,positive
9099,be feel like -PRON- have a bad flu yes Bad Flu,negative
9100,Buenos Dias how very sweet thank -PRON-,positive
9101,have to eat -PRON- sandwhich since guy be in a meeting no sushi to brag about,neutral
9102,i guesss,neutral
9103,-PRON- will watch that at some point have -PRON- on hd but Stace also want to see -PRON- in hd so wait,neutral
9104,thank u u kno ppl already look   -PRON- chest ne way may as well give -PRON- somethng to throw -PRON- off LOL,positive
9105,now i be do the MicroEconomics project   ihate this subject   beside that i have the english ILETS exam tomorrow waaa HELP,negative
9106,just finish watch terminator other than the music nothing be great,negative
9107,hey be -PRON- thereOyy i geas -PRON- sleep,neutral
9108,thankie btw what part of scotland do -PRON- live in -PRON- never get to visit the UK at all when -PRON- live in Europe,neutral
9109,awesome,positive
9110,no not yet   i have   week leave o do -PRON- have summer holiday now,neutral
9111,just see ghost of Girlfriends past   -PRON- be actually really cute for a total chick flick Mattew McConaughey be smexy,positive
9112,-PRON- s hard to please methink -PRON- have the picture in -PRON- head just fine,positive
9113,thank    -PRON- little girl just love animal so all the oohs and aah be very cute,positive
9114,life be so boring without -PRON-,negative
9115,hi man yeah -PRON- so wanna go but -PRON- be on Maui   liloven,negative
9116,Good Morning Tweeters Happy Monday   grab a big cup of coffee -PRON- a new week,positive
9117,Happy Mothers day to all -PRON- MI mother out there    thank for do what -PRON- do   whatever that be,positive
9118,happy mums day i kinduhh have a major crush on alex johnson from the cab,positive
9119,-PRON- will not leave -PRON- alone until -PRON- accept -PRON- appology,positive
9120,i lose friend when i do not do anything,negative
9121,oh i see    so what be -PRON- have today hehe,neutral
9122,hey everyone -PRON- just mix the first single   why r u -PRON- be sooo excited,positive
9123,-PRON- be watch Parental Control,neutral
9124,UNC budget   cut may rise to,neutral
9125,-PRON- be in the garden make picture weed an sweep the weather be nice see -PRON-   people,positive
9126,look -PRON- be follow -PRON-,neutral
9127,do with examsnow focus on summer schooldayuumm Lifes Hard,negative
9128,i feel like a princess   i love lingerie party,positive
9129,someone just buy the domain i plan on buying yesterday,negative
9130,what software do -PRON- use to design site -PRON- be a CS student and currently -PRON- hard code everything -PRON- not the fast way,negative
9131,-PRON- should definately be in Paris that week if -PRON- get a job -PRON- most certainly will be,neutral
9132,have Bigi   Tokyo Fashion Spree tmr   check out SIH web,neutral
9133,at Le mont door -PRON- closed maybe -PRON- be too rich   pass pairung as well,neutral
9134,take -PRON- brother to the airport   then gym,neutral
9135,company Hey Kathy happy Mothers Day,positive
9136,actually -PRON- friend give -PRON- the file today lol but those be all CDA file do u know how to convert -PRON- to,neutral
9137,boom and if -PRON- will boom see the movie last night   really enjoy -PRON-,positive
9138,-PRON- be too sleepy early and i do not get to see matt,neutral
9139,that blip be not to be misconstrue as qs on last night convo -PRON- just a song i really love   that rock -PRON- morning,positive
9140,lunch be go home to restnot well today,negative
9141,head to waterfront for a quick drink with the office peepscorsen Building of course be book   any suggestion,neutral
9142,i promise -PRON- i would spread the card around Indiaand -PRON- only give someone a deck   then never give -PRON- out,positive
9143,note to self do not wear steel toe to the court house -PRON- be just sayin,neutral
9144,gaba evrytime i listen to the name of tat plce i be remind of Mojojojo from dexter lab,neutral
9145,upset friday night cry,negative
9146,-PRON- too baby Miss -PRON-,negative
9147,needless to say -PRON- do not stay to find,negative
9148,may have unintentionally snub someone due to -PRON- ineptnessshyness feel badly,negative
9149,i will be without an assistant for the next week,neutral
9150,sweet dream,positive
9151,hey aww i cnt view -PRON- in the UK -PRON- be block   what -PRON- itx,negative
9152,oh the voting be over   but do not worry -PRON- already vote for -PRON- about   time early,positive
9153,even if -PRON- be spf   besides -PRON- do not need   -PRON- be just put more chemical on -PRON- face Spf   be a full block,neutral
9154,-PRON- never order chip any more due to how unhealthy -PRON- be but get a burrito from Chipotle or Qdoba do not feel right without -PRON-,negative
9155,-PRON- like -PRON- too   -PRON- have not see the clip before though pretty cool,positive
9156,hmz second most popular page on this governmental site be the   page fail,negative
9157,oooh lush i can not sunbathe i burn way to easily even with sun cream    -PRON- be great thank lovely sunny day no,positive
9158,yess   -PRON-,neutral
9159,i have no idea wtf -PRON- be do,negative
9160,no one be bring snack,neutral
9161,-PRON- would not miss -PRON- for the world   iccvb meeting   MonWed   the fun be just begin,positive
9162,-PRON- bring a buffalo   for   have the fast transfer rate for a usb hddi benchmarke -PRON- at   on -PRON- comp,positive
9163,great   -PRON- book look fantastic   -PRON- want -PRON-,positive
9164,UGH i love tila hater need to shut up,neutral
9165,s mum ask -PRON- to thank -PRON- for introduce -PRON- to Kennys   be have Mothers Day dinner here,positive
9166,why -PRON- be not sleep,negative
9167,guess -PRON- be too much to hope for -PRON- to have a nice relaxing Mothers Day Happy Mothers Day mommy,neutral
9168,great reason   Ill be there    try to find an excuse to go to LA for   show,positive
9169,EEEEEEEEEEE it come,positive
9170,hang out with sam billy and veronica not go to school tomorrow to take sam to body shop Dang car accident,negative
9171,-PRON- monitor will not turn on this can only be the work of -PRON- mother,negative
9172,add   more spot in Memphis today and visit    need a Hot Dog icon for a new restaurant so have to settle for a Hamburger,neutral
9173,i have   get out this HoUse,neutral
9174,-PRON- be such a nerd read -PRON- first of many book this summer,negative
9175,ARGH watch batman,neutral
9176,-PRON- be goodmake a list of thing to do todayI have a week off in a few daysI do not want to be do these chore thing then,neutral
9177,-PRON- aim be not work due to network problem,negative
9178,hey Nia -PRON- use to be the pd at Hot   in Dayton -PRON- meet -PRON- in Cincinnati at the Wiz Christmas party Hope all be well,neutral
9179,i know    but -PRON- well than nothing,positive
9180,-PRON- too early to be up,neutral
9181,-PRON- be fine alsoup way to earlylolsoo those r all ur dog to   i def want a pit lol,neutral
9182,learn to play guitar be one of the good thing -PRON- have do out of boredom,positive
9183,-PRON- need to move to NY SanFran or Seattle to get wortha internet speed,neutral
9184,i hate feel like this,negative
9185,watch click -PRON- be talkin about twitter and celebritytweet   -PRON- be just go to get ready for work,neutral
9186,Finishing Homework   BOOO,neutral
9187,wish -PRON- be   wembley,positive
9188,sound like -PRON- have have a nice weekend lady,positive
9189,wee do with advance audit paper,neutral
9190,hello palnice   c u todayhave a   week,positive
9191,just get home and count the day till friday,neutral
9192,watch matilda with a bowl of noodle,neutral
9193,do homework ugh,negative
9194,thanks madam -PRON- be lucky coz -PRON- have a wonderful dog and sooo cute,positive
9195,Heheuntil -PRON- come back -PRON- FB friend get a Twitter respite huh jk,neutral
9196,learn learn -PRON- can learn together,positive
9197,-PRON- listen -PRON- album on youtube so awesome but i can not buy -PRON-,positive
9198,for the most part not enough space on one drive to properly defrag nowhere else to put stuff but yeah reassemble,neutral
